sample_name,type,flowcell,lane,file,ega_id
SJCBF043,D,C0DG1ACXX,1,SJCBF043_D-C0DG1ACXX.1.bam.cip,EGAF00000879193
SJCBF043,G,C0697ACXX,8,SJCBF043_G-C0697ACXX.8.bam.cip,EGAF00000879194
SJCBF043,G,C0DG1ACXX,1,SJCBF043_G-C0DG1ACXX.1.bam.cip,EGAF00000879195
SJCBF044,D,C0697ACXX,8,SJCBF044_D-C0697ACXX.8.bam.cip,EGAF00000879196
SJCBF044,D,C0DG1ACXX,1,SJCBF044_D-C0DG1ACXX.1.bam.cip,EGAF00000879197
SJCBF044,G,C0697ACXX,8,SJCBF044_G-C0697ACXX.8.bam.cip,EGAF00000879198
SJCBF044,G,C0DG1ACXX,1,SJCBF044_G-C0DG1ACXX.1.bam.cip,EGAF00000879199
SJCBF090,D,D10PHACXX,3,SJCBF090_D-D10PHACXX.3.bam.cip,EGAF00000879200
SJCBF090,D,D10PHACXX,4,SJCBF090_D-D10PHACXX.4.bam.cip,EGAF00000879201
SJCBF090,G,D10PHACXX,5,SJCBF090_G-D10PHACXX.5.bam.cip,EGAF00000879202
SJCBF090,G,D10PHACXX,6,SJCBF090_G-D10PHACXX.6.bam.cip,EGAF00000879203
SJCBF091,D,D10PHACXX,5,SJCBF091_D-D10PHACXX.5.bam.cip,EGAF00000879204
SJCBF091,D,D10PHACXX,6,SJCBF091_D-D10PHACXX.6.bam.cip,EGAF00000879205
SJCBF091,G,D10PHACXX,5,SJCBF091_G-D10PHACXX.5.bam.cip,EGAF00000879206
SJCBF091,G,D10PHACXX,6,SJCBF091_G-D10PHACXX.6.bam.cip,EGAF00000879207
SJCBF092,D,D10PHACXX,5,SJCBF092_D-D10PHACXX.5.bam.cip,EGAF00000879208
SJCBF092,D,D10PHACXX,6,SJCBF092_D-D10PHACXX.6.bam.cip,EGAF00000879209
SJCBF092,G,D10PHACXX,5,SJCBF092_G-D10PHACXX.5.bam.cip,EGAF00000879210
SJCBF092,G,D10PHACXX,6,SJCBF092_G-D10PHACXX.6.bam.cip,EGAF00000879211
SJCBF093,D,D10PHACXX,5,SJCBF093_D-D10PHACXX.5.bam.cip,EGAF00000879212
SJCBF093,D,D10PHACXX,6,SJCBF093_D-D10PHACXX.6.bam.cip,EGAF00000879213
SJCBF093,G,D10PHACXX,7,SJCBF093_G-D10PHACXX.7.bam.cip,EGAF00000879214
SJCBF093,G,D10PHACXX,8,SJCBF093_G-D10PHACXX.8.bam.cip,EGAF00000879215
SJCBF094,D,D10PHACXX,7,SJCBF094_D-D10PHACXX.7.bam.cip,EGAF00000879216
SJCBF094,D,D10PHACXX,8,SJCBF094_D-D10PHACXX.8.bam.cip,EGAF00000879217
SJCBF094,G,D10PHACXX,7,SJCBF094_G-D10PHACXX.7.bam.cip,EGAF00000879218
SJCBF094,G,D10PHACXX,8,SJCBF094_G-D10PHACXX.8.bam.cip,EGAF00000879219
SJCBF096,D,D10PHACXX,7,SJCBF096_D-D10PHACXX.7.bam.cip,EGAF00000879224
SJCBF096,D,D10PHACXX,8,SJCBF096_D-D10PHACXX.8.bam.cip,EGAF00000879225
SJCBF096,G,D10PMACXX,1,SJCBF096_G-D10PMACXX.1.bam.cip,EGAF00000879226
SJCBF096,G,D10PMACXX,2,SJCBF096_G-D10PMACXX.2.bam.cip,EGAF00000879227
SJCBF099,D,D10PMACXX,1,SJCBF099_D-D10PMACXX.1.bam.cip,EGAF00000879237
SJCBF099,D,D10PMACXX,2,SJCBF099_D-D10PMACXX.2.bam.cip,EGAF00000879238
SJCBF099,G,D10PMACXX,3,SJCBF099_G-D10PMACXX.3.bam.cip,EGAF00000879239
SJCBF099,G,D10PMACXX,4,SJCBF099_G-D10PMACXX.4.bam.cip,EGAF00000879240
SJCBF100,D,D10PMACXX,3,SJCBF100_D-D10PMACXX.3.bam.cip,EGAF00000879241
SJCBF100,D,D10PMACXX,4,SJCBF100_D-D10PMACXX.4.bam.cip,EGAF00000879242
SJCBF100,G,D10PMACXX,3,SJCBF100_G-D10PMACXX.3.bam.cip,EGAF00000879243
SJCBF100,G,D10PMACXX,4,SJCBF100_G-D10PMACXX.4.bam.cip,EGAF00000879244
SJCBF101,D,D10PMACXX,3,SJCBF101_D-D10PMACXX.3.bam.cip,EGAF00000879245
SJCBF101,D,D10PMACXX,4,SJCBF101_D-D10PMACXX.4.bam.cip,EGAF00000879246
SJCBF101,G,D10PMACXX,3,SJCBF101_G-D10PMACXX.3.bam.cip,EGAF00000879247
SJCBF101,G,D10PMACXX,4,SJCBF101_G-D10PMACXX.4.bam.cip,EGAF00000879248
SJCBF102,D,D10PMACXX,3,SJCBF102_D-D10PMACXX.3.bam.cip,EGAF00000879249
SJCBF102,D,D10PMACXX,4,SJCBF102_D-D10PMACXX.4.bam.cip,EGAF00000879250
SJCBF102,G,D10PMACXX,5,SJCBF102_G-D10PMACXX.5.bam.cip,EGAF00000879251
SJCBF102,G,D10PMACXX,6,SJCBF102_G-D10PMACXX.6.bam.cip,EGAF00000879252
SJCBF103,D,D10PMACXX,5,SJCBF103_D-D10PMACXX.5.bam.cip,EGAF00000879253
SJCBF103,D,D10PMACXX,6,SJCBF103_D-D10PMACXX.6.bam.cip,EGAF00000879254
SJCBF103,G,D10PMACXX,5,SJCBF103_G-D10PMACXX.5.bam.cip,EGAF00000879255
SJCBF103,G,D10PMACXX,6,SJCBF103_G-D10PMACXX.6.bam.cip,EGAF00000879256
SJCBF104,D,D10PMACXX,5,SJCBF104_D-D10PMACXX.5.bam.cip,EGAF00000879257
SJCBF104,D,D10PMACXX,6,SJCBF104_D-D10PMACXX.6.bam.cip,EGAF00000879258
SJCBF104,G,D10PMACXX,5,SJCBF104_G-D10PMACXX.5.bam.cip,EGAF00000879259
SJCBF104,G,D10PMACXX,6,SJCBF104_G-D10PMACXX.6.bam.cip,EGAF00000879260
SJCBF105,D,D10PMACXX,5,SJCBF105_D-D10PMACXX.5.bam.cip,EGAF00000879261
SJCBF105,D,D10PMACXX,6,SJCBF105_D-D10PMACXX.6.bam.cip,EGAF00000879262
SJCBF105,G,D10PMACXX,7,SJCBF105_G-D10PMACXX.7.bam.cip,EGAF00000879263
SJCBF105,G,D10PMACXX,8,SJCBF105_G-D10PMACXX.8.bam.cip,EGAF00000879264
SJCBF106,D,D10PMACXX,7,SJCBF106_D-D10PMACXX.7.bam.cip,EGAF00000879265
SJCBF106,D,D10PMACXX,8,SJCBF106_D-D10PMACXX.8.bam.cip,EGAF00000879266
SJCBF106,G,D10PMACXX,7,SJCBF106_G-D10PMACXX.7.bam.cip,EGAF00000879267
SJCBF106,G,D10PMACXX,8,SJCBF106_G-D10PMACXX.8.bam.cip,EGAF00000879268
SJCBF107,D,D10PMACXX,7,SJCBF107_D-D10PMACXX.7.bam.cip,EGAF00000879269
SJCBF107,D,D10PMACXX,8,SJCBF107_D-D10PMACXX.8.bam.cip,EGAF00000879270
SJCBF107,G,D10PMACXX,7,SJCBF107_G-D10PMACXX.7.bam.cip,EGAF00000879271
SJCBF107,G,D10PMACXX,8,SJCBF107_G-D10PMACXX.8.bam.cip,EGAF00000879272
SJCBF108,D,D10PMACXX,7,SJCBF108_D-D10PMACXX.7.bam.cip,EGAF00000879273
SJCBF108,D,D10PMACXX,8,SJCBF108_D-D10PMACXX.8.bam.cip,EGAF00000879274
SJCBF108,G,C0T14ACXX,1,SJCBF108_G-C0T14ACXX.1.bam.cip,EGAF00000879275
SJCBF108,G,C0T14ACXX,2,SJCBF108_G-C0T14ACXX.2.bam.cip,EGAF00000879276
SJCBF109,D,C0T14ACXX,1,SJCBF109_D-C0T14ACXX.1.bam.cip,EGAF00000879277
SJCBF109,D,C0T14ACXX,2,SJCBF109_D-C0T14ACXX.2.bam.cip,EGAF00000879278
SJCBF109,G,C0T14ACXX,1,SJCBF109_G-C0T14ACXX.1.bam.cip,EGAF00000879279
SJCBF109,G,C0T14ACXX,2,SJCBF109_G-C0T14ACXX.2.bam.cip,EGAF00000879280
SJCBF110,D,C0T14ACXX,1,SJCBF110_D-C0T14ACXX.1.bam.cip,EGAF00000879281
SJCBF110,D,C0T14ACXX,2,SJCBF110_D-C0T14ACXX.2.bam.cip,EGAF00000879282
SJCBF110,G,C0T14ACXX,1,SJCBF110_G-C0T14ACXX.1.bam.cip,EGAF00000879283
SJCBF110,G,C0T14ACXX,2,SJCBF110_G-C0T14ACXX.2.bam.cip,EGAF00000879284
SJCBF111,D,C0T14ACXX,1,SJCBF111_D-C0T14ACXX.1.bam.cip,EGAF00000879285
SJCBF111,D,C0T14ACXX,2,SJCBF111_D-C0T14ACXX.2.bam.cip,EGAF00000879286
SJCBF111,G,C0T14ACXX,3,SJCBF111_G-C0T14ACXX.3.bam.cip,EGAF00000879287
SJCBF111,G,C0T14ACXX,4,SJCBF111_G-C0T14ACXX.4.bam.cip,EGAF00000879288
SJCBF112,D,C0T14ACXX,3,SJCBF112_D-C0T14ACXX.3.bam.cip,EGAF00000879289
SJCBF112,D,C0T14ACXX,4,SJCBF112_D-C0T14ACXX.4.bam.cip,EGAF00000879290
SJCBF112,G,C0T14ACXX,3,SJCBF112_G-C0T14ACXX.3.bam.cip,EGAF00000879291
SJCBF112,G,C0T14ACXX,4,SJCBF112_G-C0T14ACXX.4.bam.cip,EGAF00000879292
SJCBF113,D,C0T14ACXX,3,SJCBF113_D-C0T14ACXX.3.bam.cip,EGAF00000879293
SJCBF113,D,C0T14ACXX,4,SJCBF113_D-C0T14ACXX.4.bam.cip,EGAF00000879294
SJCBF113,G,C0T14ACXX,3,SJCBF113_G-C0T14ACXX.3.bam.cip,EGAF00000879295
SJCBF113,G,C0T14ACXX,4,SJCBF113_G-C0T14ACXX.4.bam.cip,EGAF00000879296
SJCBF114,D,C0T14ACXX,3,SJCBF114_D-C0T14ACXX.3.bam.cip,EGAF00000879297
SJCBF114,D,C0T14ACXX,4,SJCBF114_D-C0T14ACXX.4.bam.cip,EGAF00000879298
SJCBF114,G,C0T14ACXX,5,SJCBF114_G-C0T14ACXX.5.bam.cip,EGAF00000879299
SJCBF114,G,C0T14ACXX,6,SJCBF114_G-C0T14ACXX.6.bam.cip,EGAF00000879300
SJCBF116,D,C0T14ACXX,5,SJCBF116_D-C0T14ACXX.5.bam.cip,EGAF00000879301
SJCBF116,D,C0T14ACXX,6,SJCBF116_D-C0T14ACXX.6.bam.cip,EGAF00000879302
SJCBF116,G,C0T14ACXX,5,SJCBF116_G-C0T14ACXX.5.bam.cip,EGAF00000879303
SJCBF116,G,C0T14ACXX,6,SJCBF116_G-C0T14ACXX.6.bam.cip,EGAF00000879304
SJCBF117,D,C0T14ACXX,5,SJCBF117_D-C0T14ACXX.5.bam.cip,EGAF00000879305
SJCBF117,D,C0T14ACXX,6,SJCBF117_D-C0T14ACXX.6.bam.cip,EGAF00000879306
SJCBF117,G,C0T14ACXX,5,SJCBF117_G-C0T14ACXX.5.bam.cip,EGAF00000879307
SJCBF117,G,C0T14ACXX,6,SJCBF117_G-C0T14ACXX.6.bam.cip,EGAF00000879308
SJCBF118,D,C0T14ACXX,7,SJCBF118_D-C0T14ACXX.7.bam.cip,EGAF00000879309
SJCBF118,D,C0T14ACXX,8,SJCBF118_D-C0T14ACXX.8.bam.cip,EGAF00000879310
SJCBF118,G,C0T14ACXX,7,SJCBF118_G-C0T14ACXX.7.bam.cip,EGAF00000879311
SJCBF118,G,C0T14ACXX,8,SJCBF118_G-C0T14ACXX.8.bam.cip,EGAF00000879312
SJCBF120,D,C0T14ACXX,7,SJCBF120_D-C0T14ACXX.7.bam.cip,EGAF00000879313
SJCBF120,D,C0T14ACXX,8,SJCBF120_D-C0T14ACXX.8.bam.cip,EGAF00000879314
SJCBF120,G,C0T14ACXX,7,SJCBF120_G-C0T14ACXX.7.bam.cip,EGAF00000879315
SJCBF120,G,C0T14ACXX,8,SJCBF120_G-C0T14ACXX.8.bam.cip,EGAF00000879316
SJCBF121,D,C0T14ACXX,7,SJCBF121_D-C0T14ACXX.7.bam.cip,EGAF00000879317
SJCBF121,D,C0T14ACXX,8,SJCBF121_D-C0T14ACXX.8.bam.cip,EGAF00000879318
SJCBF121,G,C0VN9ACXX,1,SJCBF121_G-C0VN9ACXX.1.bam.cip,EGAF00000879319
